isoAlpha2,locale,name
HK,es,Hong Kong
MO,es,Macao
CI,es,Costa de Marfil
CZ,es,República Checa
BA,en,Bosnia and Herzegovina
CN,en,Mainland China
CN,es,China continental
CN,ja,中国本土
PS,en,Palestinian territories
PS,es,Territorios Palestinos
PS,ja,パレスチナ
BQ,ja,ボネール、シント・ユースタティウス島及びサバ島
CC,ja,ココス（キーリング）諸島
CD,ja,コンゴ民主共和国
CF,ja,中央アフリカ
CG,ja,コンゴ共和国
GB,ja,英国
HK,ja,香港
HM,ja,ハード島及びマクドナルド諸島
KN,ja,セントクリストファー・ネービス
MM,ja,ミャンマー
MO,ja,マカオ
PM,ja,サンピエール島及びミクロン島
SH,ja,セント ヘレナ諸島
SJ,ja,スヴァールバル諸島及びヤン・マイエン島
TF,ja,仏領南極地域
UM,ja,米領太平洋諸島
US,ja,米国
VG,ja,英領バージン諸島
YT,ja,仏領マイヨット島