Economy,Code,Region,Income group,Lending category,Other
Afghanistan,AFG,South Asia,Low income,IDA,HIPC
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD,
Algeria,DZA,Middle East & North Africa,Lower middle income,IBRD,
American Samoa,ASM,East Asia & Pacific,Upper middle income,..,
Andorra,AND,Europe & Central Asia,High income,..,
Angola,AGO,Sub-Saharan Africa,Lower middle income,IBRD,
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,IBRD,
Argentina,ARG,Latin America & Caribbean,Upper middle income,IBRD,
Armenia,ARM,Europe & Central Asia,Upper middle income,IBRD,
Aruba,ABW,Latin America & Caribbean,High income,..,
Australia,AUS,East Asia & Pacific,High income,..,
Austria,AUT,Europe & Central Asia,High income,..,EMU
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,IBRD,
"Bahamas, The",BHS,Latin America & Caribbean,High income,..,
Bahrain,BHR,Middle East & North Africa,High income,..,
Bangladesh,BGD,South Asia,Lower middle income,IDA,
Barbados,BRB,Latin America & Caribbean,High income,..,
Belarus,BLR,Europe & Central Asia,Upper middle income,IBRD,
Belgium,BEL,Europe & Central Asia,High income,..,EMU
Belize,BLZ,Latin America & Caribbean,Upper middle income,IBRD,
Benin,BEN,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Bermuda,BMU,North America,High income,..,
Bhutan,BTN,South Asia,Lower middle income,IDA,
Bolivia,BOL,Latin America & Caribbean,Lower middle income,IBRD,HIPC
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,IBRD,
Botswana,BWA,Sub-Saharan Africa,Upper middle income,IBRD,
Brazil,BRA,Latin America & Caribbean,Upper middle income,IBRD,
British Virgin Islands,VGB,Latin America & Caribbean,High income,..,
Brunei Darussalam,BRN,East Asia & Pacific,High income,..,
Bulgaria,BGR,Europe & Central Asia,Upper middle income,IBRD,
Burkina Faso,BFA,Sub-Saharan Africa,Low income,IDA,HIPC
Burundi,BDI,Sub-Saharan Africa,Low income,IDA,HIPC
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,Blend,
Cambodia,KHM,East Asia & Pacific,Lower middle income,IDA,
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,Blend,HIPC
Canada,CAN,North America,High income,..,
Cayman Islands,CYM,Latin America & Caribbean,High income,..,
Central African Republic,CAF,Sub-Saharan Africa,Low income,IDA,HIPC
Chad,TCD,Sub-Saharan Africa,Low income,IDA,HIPC
Channel Islands,CHI,Europe & Central Asia,High income,..,
Chile,CHL,Latin America & Caribbean,High income,IBRD,
China,CHN,East Asia & Pacific,Upper middle income,IBRD,
Colombia,COL,Latin America & Caribbean,Upper middle income,IBRD,
Comoros,COM,Sub-Saharan Africa,Lower middle income,IDA,HIPC
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,IDA,HIPC
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,Blend,HIPC
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,IBRD,
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Croatia,HRV,Europe & Central Asia,High income,IBRD,
Cuba,CUB,Latin America & Caribbean,Upper middle income,..,
Curaçao,CUW,Latin America & Caribbean,High income,..,
Cyprus,CYP,Europe & Central Asia,High income,..,EMU
Czech Republic,CZE,Europe & Central Asia,High income,..,
Denmark,DNK,Europe & Central Asia,High income,..,
Djibouti,DJI,Middle East & North Africa,Lower middle income,IDA,
Dominica,DMA,Latin America & Caribbean,Upper middle income,Blend,
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,IBRD,
Ecuador,ECU,Latin America & Caribbean,Upper middle income,IBRD,
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,IBRD,
El Salvador,SLV,Latin America & Caribbean,Lower middle income,IBRD,
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,IBRD,
Eritrea,ERI,Sub-Saharan Africa,Low income,IDA,HIPC
Estonia,EST,Europe & Central Asia,High income,..,EMU
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,IBRD,
Ethiopia,ETH,Sub-Saharan Africa,Low income,IDA,HIPC
Faroe Islands,FRO,Europe & Central Asia,High income,..,
Fiji,FJI,East Asia & Pacific,Upper middle income,Blend,
Finland,FIN,Europe & Central Asia,High income,..,EMU
France,FRA,Europe & Central Asia,High income,..,EMU
French Polynesia,PYF,East Asia & Pacific,High income,..,
Gabon,GAB,Sub-Saharan Africa,Upper middle income,IBRD,
"Gambia, The",GMB,Sub-Saharan Africa,Low income,IDA,HIPC
Georgia,GEO,Europe & Central Asia,Upper middle income,IBRD,
Germany,DEU,Europe & Central Asia,High income,..,EMU
Ghana,GHA,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Gibraltar,GIB,Europe & Central Asia,High income,..,
Greece,GRC,Europe & Central Asia,High income,..,EMU
Greenland,GRL,Europe & Central Asia,High income,..,
Grenada,GRD,Latin America & Caribbean,Upper middle income,Blend,
Guam,GUM,East Asia & Pacific,High income,..,
Guatemala,GTM,Latin America & Caribbean,Upper middle income,IBRD,
Guinea,GIN,Sub-Saharan Africa,Low income,IDA,HIPC
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,IDA,HIPC
Guyana,GUY,Latin America & Caribbean,Upper middle income,IDA,HIPC
Haiti,HTI,Latin America & Caribbean,Low income,IDA,HIPC
Honduras,HND,Latin America & Caribbean,Lower middle income,IDA,HIPC
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,..,
Hungary,HUN,Europe & Central Asia,High income,..,
Iceland,ISL,Europe & Central Asia,High income,..,
India,IND,South Asia,Lower middle income,IBRD,
Indonesia,IDN,East Asia & Pacific,Upper middle income,IBRD,
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,IBRD,
Iraq,IRQ,Middle East & North Africa,Upper middle income,IBRD,
Ireland,IRL,Europe & Central Asia,High income,..,EMU
Isle of Man,IMN,Europe & Central Asia,High income,..,
Israel,ISR,Middle East & North Africa,High income,..,
Italy,ITA,Europe & Central Asia,High income,..,EMU
Jamaica,JAM,Latin America & Caribbean,Upper middle income,IBRD,
Japan,JPN,East Asia & Pacific,High income,..,
Jordan,JOR,Middle East & North Africa,Upper middle income,IBRD,
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,IBRD,
Kenya,KEN,Sub-Saharan Africa,Lower middle income,Blend,
Kiribati,KIR,East Asia & Pacific,Lower middle income,IDA,
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,Low income,..,
"Korea, Rep.",KOR,East Asia & Pacific,High income,..,
Kosovo,XKX,Europe & Central Asia,Upper middle income,IDA,
Kuwait,KWT,Middle East & North Africa,High income,..,
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,IDA,
Lao PDR,LAO,East Asia & Pacific,Lower middle income,IDA,
Latvia,LVA,Europe & Central Asia,High income,..,EMU
Lebanon,LBN,Middle East & North Africa,Upper middle income,IBRD,
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,IDA,
Liberia,LBR,Sub-Saharan Africa,Low income,IDA,HIPC
Libya,LBY,Middle East & North Africa,Upper middle income,IBRD,
Liechtenstein,LIE,Europe & Central Asia,High income,..,
Lithuania,LTU,Europe & Central Asia,High income,..,EMU
Luxembourg,LUX,Europe & Central Asia,High income,..,EMU
"Macao SAR, China",MAC,East Asia & Pacific,High income,..,
Madagascar,MDG,Sub-Saharan Africa,Low income,IDA,HIPC
Malawi,MWI,Sub-Saharan Africa,Low income,IDA,HIPC
Malaysia,MYS,East Asia & Pacific,Upper middle income,IBRD,
Maldives,MDV,South Asia,Upper middle income,IDA,
Mali,MLI,Sub-Saharan Africa,Low income,IDA,HIPC
Malta,MLT,Middle East & North Africa,High income,..,EMU
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,IDA,
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Mauritius,MUS,Sub-Saharan Africa,High income,IBRD,
Mexico,MEX,Latin America & Caribbean,Upper middle income,IBRD,
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,IDA,
Moldova,MDA,Europe & Central Asia,Lower middle income,IBRD,
Monaco,MCO,Europe & Central Asia,High income,..,
Mongolia,MNG,East Asia & Pacific,Lower middle income,IBRD,
Montenegro,MNE,Europe & Central Asia,Upper middle income,IBRD,
Morocco,MAR,Middle East & North Africa,Lower middle income,IBRD,
Mozambique,MOZ,Sub-Saharan Africa,Low income,IDA,HIPC
Myanmar,MMR,East Asia & Pacific,Lower middle income,IDA,
Namibia,NAM,Sub-Saharan Africa,Upper middle income,IBRD,
Nauru,NRU,East Asia & Pacific,High income,IBRD,
Nepal,NPL,South Asia,Lower middle income,IDA,
Netherlands,NLD,Europe & Central Asia,High income,..,EMU
New Caledonia,NCL,East Asia & Pacific,High income,..,
New Zealand,NZL,East Asia & Pacific,High income,..,
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,IDA,HIPC
Niger,NER,Sub-Saharan Africa,Low income,IDA,HIPC
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,Blend,
North Macedonia,MKD,Europe & Central Asia,Upper middle income,IBRD,
Northern Mariana Islands,MNP,East Asia & Pacific,High income,..,
Norway,NOR,Europe & Central Asia,High income,..,
Oman,OMN,Middle East & North Africa,High income,..,
Pakistan,PAK,South Asia,Lower middle income,Blend,
Palau,PLW,East Asia & Pacific,High income,IBRD,
Panama,PAN,Latin America & Caribbean,High income,IBRD,
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,Blend,
Paraguay,PRY,Latin America & Caribbean,Upper middle income,IBRD,
Peru,PER,Latin America & Caribbean,Upper middle income,IBRD,
Philippines,PHL,East Asia & Pacific,Lower middle income,IBRD,
Poland,POL,Europe & Central Asia,High income,IBRD,
Portugal,PRT,Europe & Central Asia,High income,..,EMU
Puerto Rico,PRI,Latin America & Caribbean,High income,..,
Qatar,QAT,Middle East & North Africa,High income,..,
Romania,ROU,Europe & Central Asia,High income,IBRD,
Russian Federation,RUS,Europe & Central Asia,Upper middle income,IBRD,
Rwanda,RWA,Sub-Saharan Africa,Low income,IDA,HIPC
Samoa,WSM,East Asia & Pacific,Upper middle income,IDA,
San Marino,SMR,Europe & Central Asia,High income,..,
São Tomé and Principe,STP,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Saudi Arabia,SAU,Middle East & North Africa,High income,..,
Senegal,SEN,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Serbia,SRB,Europe & Central Asia,Upper middle income,IBRD,
Seychelles,SYC,Sub-Saharan Africa,High income,IBRD,
Sierra Leone,SLE,Sub-Saharan Africa,Low income,IDA,HIPC
Singapore,SGP,East Asia & Pacific,High income,..,
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,..,
Slovak Republic,SVK,Europe & Central Asia,High income,..,EMU
Slovenia,SVN,Europe & Central Asia,High income,..,EMU
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,IDA,
Somalia,SOM,Sub-Saharan Africa,Low income,IDA,HIPC
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,IBRD,
South Sudan,SSD,Sub-Saharan Africa,Low income,IDA,
Spain,ESP,Europe & Central Asia,High income,..,EMU
Sri Lanka,LKA,South Asia,Lower middle income,IBRD,
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,IBRD,
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,Blend,
St. Martin (French part),MAF,Latin America & Caribbean,High income,..,
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,Blend,
Sudan,SDN,Sub-Saharan Africa,Low income,IDA,HIPC
Suriname,SUR,Latin America & Caribbean,Upper middle income,IBRD,
Sweden,SWE,Europe & Central Asia,High income,..,
Switzerland,CHE,Europe & Central Asia,High income,..,
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,IDA,
"Taiwan, China",TWN,East Asia & Pacific,High income,..,
Tajikistan,TJK,Europe & Central Asia,Low income,IDA,
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Thailand,THA,East Asia & Pacific,Upper middle income,IBRD,
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,Blend,
Togo,TGO,Sub-Saharan Africa,Low income,IDA,HIPC
Tonga,TON,East Asia & Pacific,Upper middle income,IDA,
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,IBRD,
Tunisia,TUN,Middle East & North Africa,Lower middle income,IBRD,
Turkey,TUR,Europe & Central Asia,Upper middle income,IBRD,
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,IBRD,
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,..,
Tuvalu,TUV,East Asia & Pacific,Upper middle income,IDA,
Uganda,UGA,Sub-Saharan Africa,Low income,IDA,HIPC
Ukraine,UKR,Europe & Central Asia,Lower middle income,IBRD,
United Arab Emirates,ARE,Middle East & North Africa,High income,..,
United Kingdom,GBR,Europe & Central Asia,High income,..,
United States,USA,North America,High income,..,
Uruguay,URY,Latin America & Caribbean,High income,IBRD,
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,Blend,
Vanuatu,VUT,East Asia & Pacific,Lower middle income,IDA,
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,IBRD,
Vietnam,VNM,East Asia & Pacific,Lower middle income,IBRD,
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,..,
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,..,
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,IDA,
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,Blend,